Time (LST),Air Temp (°F),0.5 m Air Temp (°F),1.5 m Air Temp (°F),3 m Air Temp (°F),Relative Humidity (%),Precipitation (in),Accumulated Precip (in),Solar Radiation (W/m²),Wind Speed (mph),Wind Direction (°),Wind Gust (mph),"4"" Bare Soil Temp (°F)","4"" Grass Soil Temp (°F)","2"" Soil Temp (°F)","2"" Soil Water Content (%)","4"" Soil Temp (°F)","4"" Soil Water Content (%)","8"" Soil Temp (°F)","8"" Soil Water Content (%)","20"" Soil Temp (°F)","20"" Soil Water Content (%)",Inversion Strength,Max Inversion,Battery Voltage,Heat Index (°F),Wind Chill (°F),Path
2025-04-27 18:00:00,69.4,67.1,67.6,67.1,31,0.0,0.0,316.0,7.4,154,13.9,66.4,52.7,60.6,31,59.0,37,57.6,35,54.3,44,1,1,14,,,C
2025-04-27 17:30:00,70.0,67.6,68.7,67.3,30,0.0,0.0,443.0,7.6,134,14.8,66.4,52.5,60.6,31,58.8,37,57.4,35,54.3,44,1,1,14,,,C
2025-04-27 17:00:00,69.6,68.0,69.3,67.5,30,0.0,0.0,547.0,8.7,127,18.3,66.2,52.2,60.4,31,58.5,37,57.2,35,54.3,44,1,1,14,,,C
2025-04-27 16:30:00,69.6,67.8,68.7,67.1,31,0.0,0.0,647.0,8.5,141,16.3,65.8,51.8,60.1,31,58.3,37,57.0,35,54.3,44,1,1,14,,,C
2025-04-27 16:00:00,69.3,68.0,68.9,66.7,31,0.0,0.0,739.0,9.2,123,17.4,65.1,51.4,59.7,31,57.7,37,56.8,35,54.3,44,1,1,14,,,C
2025-04-27 15:30:00,69.1,67.6,68.4,66.6,31,0.0,0.0,822.0,9.8,127,17.0,64.4,51.1,59.4,31,57.4,37,56.7,35,54.3,44,1,1,14,,,C
2025-04-27 15:00:00,68.5,67.3,68.0,66.0,32,0.0,0.0,894.0,8.7,132,16.8,63.7,50.7,58.8,31,57.0,37,56.7,35,54.3,44,1,1,14,,,C
2025-04-27 14:30:00,67.5,67.3,67.5,65.7,33,0.0,0.0,952.0,11.0,115,18.6,62.8,50.2,58.1,31,56.5,37,56.5,35,54.3,44,0,0,14,,,C
2025-04-27 14:00:00,66.9,66.6,66.7,64.8,34,0.0,0.0,987.0,11.2,119,20.6,61.9,49.8,57.6,31,56.1,37,56.3,35,54.3,44,0,0,14,,,C
2025-04-27 13:30:00,66.4,65.1,65.1,63.9,36,0.0,0.0,"1,027.0",10.5,136,19.5,61.0,49.5,56.8,31,55.6,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 13:00:00,64.9,64.8,64.6,63.3,38,0.0,0.0,"1,038.0",10.7,119,18.8,59.9,49.1,56.1,31,55.2,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 12:30:00,64.0,64.0,63.7,62.2,41,0.0,0.0,"1,029.0",10.5,117,18.3,59.0,48.7,55.6,31,54.9,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 12:00:00,63.5,62.6,62.4,61.2,44,0.0,0.0,"1,013.0",10.3,131,18.6,57.9,48.6,55.0,31,54.5,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 11:30:00,62.2,61.9,61.5,60.4,46,0.0,0.0,980.0,10.3,127,18.8,56.8,48.2,54.3,31,54.1,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 11:00:00,61.5,61.2,61.0,59.7,49,0.0,0.0,924.0,10.3,128,18.1,55.9,48.2,54.0,31,54.0,37,56.3,35,54.5,44,0,0,14,,,C
2025-04-27 10:30:00,60.6,60.3,60.1,58.8,51,0.0,0.0,862.0,10.1,130,18.1,55.0,48.0,53.6,31,53.8,37,56.5,35,54.5,44,0,0,14,,,C
2025-04-27 10:00:00,59.4,58.6,58.6,57.6,56,0.0,0.0,762.0,9.2,134,14.3,54.3,48.0,53.2,31,53.8,37,56.5,35,54.5,44,0,0,14,,,C
2025-04-27 09:30:00,57.2,56.5,56.3,55.4,60,0.0,0.0,667.0,9.6,139,15.0,53.6,48.0,53.1,31,53.8,37,56.7,36,54.7,44,0,0,14,,,C
2025-04-27 09:00:00,55.8,54.7,54.5,53.6,63,0.0,0.0,567.0,6.9,132,14.3,53.2,48.0,52.9,31,53.8,37,56.7,36,54.7,44,0,0,14,,,C
2025-04-27 08:30:00,52.2,51.3,51.1,50.2,68,0.0,0.0,459.0,7.4,125,11.9,53.1,48.2,52.9,31,53.8,37,56.8,36,54.7,44,0,0,14,,,C
2025-04-27 08:00:00,48.9,47.7,47.8,47.1,73,0.0,0.0,355.0,8.1,119,11.9,52.9,48.2,52.9,31,54.0,37,56.8,36,54.7,44,0,0,14,,45.4,C
2025-04-27 07:30:00,44.6,43.5,43.7,43.5,79,0.0,0.0,249.0,6.5,94,9.8,53.1,48.4,53.1,31,54.1,37,57.0,36,54.7,44,0,0,14,,41.0,C
2025-04-27 07:00:00,41.2,39.6,39.7,40.1,83,0.0,0.0,153.0,3.8,83,6.0,53.4,48.6,53.2,31,54.3,37,57.2,36,54.7,44,1,1,14,,38.9,C
2025-04-27 06:30:00,37.6,35.2,35.8,37.2,87,0.0,0.0,55.0,2.5,64,4.7,53.6,48.7,53.4,31,54.5,37,57.2,36,54.7,44,2,2,13,,,C
2025-04-27 06:00:00,36.1,34.5,35.1,36.3,88,0.0,0.0,4.0,1.3,77,2.2,54.0,48.9,53.6,31,54.7,37,57.4,36,54.7,44,2,2,13,,,A
2025-04-27 05:30:00,36.7,35.4,36.5,37.2,88,0.0,0.0,0.0,2.0,50,3.1,54.3,49.1,53.8,31,54.9,37,57.6,36,54.7,44,2,2,13,,,A
2025-04-27 05:00:00,36.5,35.4,36.3,37.0,88,0.0,0.0,0.0,2.0,38,2.5,54.7,49.5,54.0,31,55.0,37,57.6,36,54.7,44,2,2,13,,,A
2025-04-27 04:30:00,36.7,35.2,36.5,37.4,88,0.0,0.0,0.0,1.8,39,2.7,54.9,49.6,54.3,31,55.2,37,57.7,36,54.7,44,2,2,13,,,A
2025-04-27 04:00:00,37.0,35.6,36.7,37.6,88,0.0,0.0,0.0,0.9,27,2.2,55.2,49.8,54.5,31,55.4,37,57.7,36,54.7,44,2,2,13,,,A
